#
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
MARK 000
1.0,0.0,0.0,1.0,6.576,1830.756
0.0,0.0,0.0,1.0,4.136,1834.892
1.0,1.0,0.0,1.0,6.584,1841.476
0.0,1.0,0.0,1.0,4.171,1845.647
0.0,0.0,1.0,1.0,3.343,1848.990
1.0,0.0,0.0,1.0,3.247,1852.236
0.0,0.0,0.0,1.0,4.131,1856.367
1.0,1.0,0.0,1.0,6.581,1862.948
1.0,0.0,1.0,1.0,3.283,1866.231
0.0,0.0,0.0,1.0,0.887,1867.118
1.0,0.0,0.0,1.0,6.562,1873.680
0.0,0.0,0.0,1.0,4.138,1877.818
1.0,1.0,0.0,1.0,6.541,1884.359
0.0,1.0,0.0,1.0,4.122,1888.481
0.0,0.0,1.0,1.0,3.336,1891.817
1.0,0.0,0.0,1.0,3.220,1895.037
0.0,0.0,0.0,1.0,4.076,1899.113
1.0,1.0,0.0,1.0,6.518,1905.631
MARK 001
1.0,0.0,0.0,1.0,142.625,2048.256
0.0,0.0,0.0,1.0,4.125,2052.381
1.0,1.0,0.0,1.0,6.572,2058.954
1.0,0.0,1.0,1.0,3.283,2062.237
0.0,0.0,0.0,1.0,0.849,2063.085
1.0,0.0,0.0,1.0,6.571,2069.656
0.0,0.0,0.0,1.0,4.143,2073.799
1.0,1.0,0.0,1.0,6.563,2080.362
0.0,1.0,0.0,1.0,4.136,2084.499
0.0,0.0,1.0,1.0,3.327,2087.826
1.0,0.0,0.0,1.0,3.231,2091.056
0.0,0.0,0.0,1.0,4.112,2095.169
1.0,1.0,0.0,1.0,6.543,2101.712
1.0,0.0,1.0,1.0,3.262,2104.974
0.0,0.0,0.0,1.0,0.847,2105.821
1.0,0.0,0.0,1.0,6.521,2112.342
0.0,0.0,0.0,1.0,4.106,2116.448
1.0,1.0,0.0,1.0,6.504,2122.952
0.0,1.0,0.0,1.0,4.109,2127.060
0.0,0.0,1.0,1.0,3.305,2130.365
1.0,0.0,0.0,1.0,3.213,2133.578
0.0,0.0,0.0,1.0,4.092,2137.670
1.0,1.0,0.0,1.0,6.512,2144.182
1.0,0.0,1.0,1.0,3.252,2147.434
0.0,0.0,0.0,1.0,0.843,2148.277
1.0,0.0,0.0,1.0,6.500,2154.777
0.0,0.0,0.0,1.0,4.089,2158.866
1.0,1.0,0.0,1.0,6.472,2165.338
0.0,1.0,0.0,1.0,4.097,2169.434
0.0,0.0,1.0,1.0,3.286,2172.720
1.0,0.0,0.0,1.0,3.204,2175.924
0.0,0.0,0.0,1.0,4.077,2180.001
1.0,1.0,0.0,1.0,6.484,2186.485
1.0,0.0,1.0,1.0,3.243,2189.729
0.0,0.0,0.0,1.0,0.843,2190.571
1.0,0.0,0.0,1.0,6.484,2197.055
0.0,0.0,0.0,1.0,4.081,2201.137
1.0,1.0,0.0,1.0,6.471,2207.608
0.0,1.0,0.0,1.0,4.095,2211.703
0.0,0.0,1.0,1.0,3.298,2215.001
1.0,0.0,0.0,1.0,3.203,2218.204
0.0,0.0,0.0,1.0,4.077,2222.281
1.0,1.0,0.0,1.0,6.494,2228.775
1.0,0.0,1.0,1.0,3.243,2232.018
0.0,0.0,0.0,1.0,0.843,2232.861
1.0,0.0,0.0,1.0,6.494,2239.355
0.0,0.0,0.0,1.0,4.092,2243.447
1.0,1.0,0.0,1.0,6.476,2249.923
0.0,1.0,0.0,1.0,4.096,2254.019
0.0,0.0,1.0,1.0,3.289,2257.308
1.0,0.0,0.0,1.0,3.204,2260.512
0.0,0.0,0.0,1.0,4.070,2264.582
1.0,1.0,0.0,1.0,6.487,2271.069
1.0,0.0,1.0,1.0,3.241,2274.310
0.0,0.0,0.0,1.0,0.846,2275.156
1.0,0.0,0.0,1.0,6.503,2281.659
0.0,0.0,0.0,1.0,4.095,2285.754
1.0,1.0,0.0,1.0,6.475,2292.229
0.0,1.0,0.0,1.0,4.102,2296.331
0.0,0.0,1.0,1.0,3.298,2299.629
1.0,0.0,0.0,1.0,3.207,2302.836
0.0,0.0,0.0,1.0,4.077,2306.913
1.0,1.0,0.0,1.0,6.487,2313.400
1.0,0.0,1.0,1.0,3.237,2316.637
0.0,0.0,0.0,1.0,0.846,2317.483
1.0,0.0,0.0,1.0,6.479,2323.963
0.0,0.0,0.0,1.0,4.084,2328.047
1.0,1.0,0.0,1.0,6.462,2334.509
0.0,1.0,0.0,1.0,4.098,2338.607
0.0,0.0,1.0,1.0,3.287,2341.894
1.0,0.0,0.0,1.0,3.211,2345.105
0.0,0.0,0.0,1.0,4.076,2349.181
1.0,1.0,0.0,1.0,6.491,2355.672
1.0,0.0,1.0,1.0,3.238,2358.910
0.0,0.0,0.0,1.0,0.844,2359.755
1.0,0.0,0.0,1.0,6.476,2366.230
0.0,0.0,0.0,1.0,4.081,2370.312
1.0,1.0,0.0,1.0,6.456,2376.768
0.0,1.0,0.0,1.0,4.076,2380.844
0.0,0.0,1.0,1.0,3.275,2384.119
1.0,0.0,0.0,1.0,3.192,2387.312
0.0,0.0,0.0,1.0,4.062,2391.373
1.0,1.0,0.0,1.0,6.475,2397.848
1.0,0.0,1.0,1.0,3.233,2401.082
0.0,0.0,0.0,1.0,0.847,2401.928
1.0,0.0,0.0,1.0,6.480,2408.408
0.0,0.0,0.0,1.0,4.087,2412.496
1.0,1.0,0.0,1.0,6.474,2418.970
0.0,1.0,0.0,1.0,4.086,2423.056
0.0,0.0,1.0,1.0,3.291,2426.347
1.0,0.0,0.0,1.0,3.194,2429.541
0.0,0.0,0.0,1.0,4.065,2433.606
1.0,1.0,0.0,1.0,6.477,2440.083
1.0,0.0,1.0,1.0,3.229,2443.311
0.0,0.0,0.0,1.0,0.840,2444.151
1.0,0.0,0.0,1.0,6.473,2450.624
0.0,0.0,0.0,1.0,4.077,2454.701
1.0,1.0,0.0,1.0,6.461,2461.162
0.0,1.0,0.0,1.0,4.083,2465.246
0.0,0.0,1.0,1.0,3.285,2468.531
1.0,0.0,0.0,1.0,3.198,2471.729
0.0,0.0,0.0,1.0,4.066,2475.795
1.0,1.0,0.0,1.0,6.475,2482.269
1.0,0.0,1.0,1.0,3.225,2485.494
0.0,0.0,0.0,1.0,0.848,2486.342
1.0,0.0,0.0,1.0,6.472,2492.814
0.0,0.0,0.0,1.0,4.076,2496.890
1.0,1.0,0.0,1.0,6.462,2503.352
0.0,1.0,0.0,1.0,4.081,2507.433
0.0,0.0,1.0,1.0,3.280,2510.713
1.0,0.0,0.0,1.0,3.194,2513.907
0.0,0.0,0.0,1.0,4.065,2517.972
1.0,1.0,0.0,1.0,6.471,2524.443
1.0,0.0,1.0,1.0,3.234,2527.677
0.0,0.0,0.0,1.0,0.843,2528.520
1.0,0.0,0.0,1.0,6.476,2534.996
0.0,0.0,0.0,1.0,4.087,2539.083
1.0,1.0,0.0,1.0,6.478,2545.561
0.0,1.0,0.0,1.0,4.095,2549.656
0.0,0.0,1.0,1.0,3.301,2552.958
1.0,0.0,0.0,1.0,3.200,2556.157
0.0,0.0,0.0,1.0,4.090,2560.248
1.0,1.0,0.0,1.0,6.512,2566.760
1.0,0.0,1.0,1.0,3.261,2570.021
0.0,0.0,0.0,1.0,0.851,2570.872
1.0,0.0,0.0,1.0,6.535,2577.407
0.0,0.0,0.0,1.0,4.121,2581.528
1.0,1.0,0.0,1.0,6.519,2588.047
0.0,1.0,0.0,1.0,4.134,2592.181
0.0,0.0,1.0,1.0,3.326,2595.507
1.0,0.0,0.0,1.0,3.225,2598.732
