//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-24-2021
//--  Time: 16:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1, 4     AFR:9.29, 16.81
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
630	14.49	145 	3.076
631	14.51	145 	3.081
632	14.52	145 	3.086
633	14.53	145 	3.091
634	14.54	145 	3.096
635	14.56	146 	3.101
636	14.57	146 	3.105
637	14.58	146 	3.110
638	14.59	146 	3.115
639	14.60	146 	3.120
640	14.62	146 	3.125
641	14.63	146 	3.130
642	14.64	146 	3.135
643	14.65	147 	3.140
644	14.67	147 	3.145
645	14.68	147 	3.149
646	14.69	147 	3.154
647	14.70	147 	3.159
648	14.71	147 	3.164
649	14.73	147 	3.169
650	14.74	147 	3.174
651	14.75	148 	3.179
652	14.76	148 	3.184
653	14.78	148 	3.188
654	14.79	148 	3.193
655	14.80	148 	3.198
656	14.81	148 	3.203
657	14.82	148 	3.208
658	14.84	148 	3.213
659	14.85	148 	3.218
660	14.86	149 	3.223
661	14.87	149 	3.228
662	14.89	149 	3.232
663	14.90	149 	3.237
664	14.91	149 	3.242
665	14.92	149 	3.247
666	14.93	149 	3.252
667	14.95	149 	3.257
668	14.96	150 	3.262
669	14.97	150 	3.267
670	14.98	150 	3.271
671	15.00	150 	3.276
672	15.01	150 	3.281
673	15.02	150 	3.286
674	15.03	150 	3.291
675	15.05	150 	3.296
676	15.06	151 	3.301
677	15.07	151 	3.306
678	15.08	151 	3.311
679	15.09	151 	3.315
680	15.11	151 	3.320
681	15.12	151 	3.325
682	15.13	151 	3.330
683	15.14	151 	3.335
684	15.16	152 	3.340
685	15.17	152 	3.345
686	15.18	152 	3.350
687	15.19	152 	3.354
688	15.20	152 	3.359
689	15.22	152 	3.364
690	15.23	152 	3.369
691	15.24	152 	3.374
692	15.25	153 	3.379
693	15.27	153 	3.384
694	15.28	153 	3.389
695	15.29	153 	3.394
696	15.30	153 	3.398
697	15.31	153 	3.403
698	15.33	153 	3.408
699	15.34	153 	3.413
700	15.35	154 	3.418
701	15.36	154 	3.423
702	15.38	154 	3.428
703	15.39	154 	3.433
704	15.40	154 	3.438
705	15.41	154 	3.442
706	15.42	154 	3.447
707	15.44	154 	3.452
708	15.45	154 	3.457
709	15.46	155 	3.462
710	15.47	155 	3.467
711	15.49	155 	3.472
712	15.50	155 	3.477
713	15.51	155 	3.481
714	15.52	155 	3.486
715	15.53	155 	3.491
716	15.55	155 	3.496
717	15.56	156 	3.501
718	15.57	156 	3.506
719	15.58	156 	3.511
720	15.60	156 	3.516
721	15.61	156 	3.521
722	15.62	156 	3.525
723	15.63	156 	3.530
724	15.64	156 	3.535
725	15.66	157 	3.540
726	15.67	157 	3.545
727	15.68	157 	3.550
728	15.69	157 	3.555
729	15.71	157 	3.560
730	15.72	157 	3.564
731	15.73	157 	3.569
732	15.74	157 	3.574
733	15.75	158 	3.579
734	15.77	158 	3.584
735	15.78	158 	3.589
736	15.79	158 	3.594
737	15.80	158 	3.599
738	15.82	158 	3.604
739	15.83	158 	3.608
740	15.84	158 	3.613
741	15.85	159 	3.618
742	15.87	159 	3.623
743	15.88	159 	3.628
744	15.89	159 	3.633
745	15.90	159 	3.638
746	15.91	159 	3.643
747	15.93	159 	3.647
748	15.94	159 	3.652
749	15.95	160 	3.657
750	15.96	160 	3.662
751	15.98	160 	3.667
752	15.99	160 	3.672
753	16.00	160 	3.677
754	16.01	160 	3.682
755	16.02	160 	3.687
756	16.04	160 	3.691
757	16.05	160 	3.696
758	16.06	161 	3.701
759	16.07	161 	3.706
760	16.09	161 	3.711
761	16.10	161 	3.716
762	16.11	161 	3.721
763	16.12	161 	3.726
764	16.13	161 	3.730
765	16.15	161 	3.735
766	16.16	162 	3.740
767	16.17	162 	3.745
768	16.18	162 	3.750
769	16.20	162 	3.755
770	16.21	162 	3.760
771	16.22	162 	3.765
772	16.23	162 	3.770
773	16.24	162 	3.774
774	16.26	163 	3.779
775	16.27	163 	3.784
776	16.28	163 	3.789
777	16.29	163 	3.794
778	16.31	163 	3.799
779	16.32	163 	3.804
780	16.33	163 	3.809
781	16.34	163 	3.813
782	16.35	164 	3.818
783	16.37	164 	3.823
784	16.38	164 	3.828
785	16.39	164 	3.833
786	16.40	164 	3.838
787	16.42	164 	3.843
788	16.43	164 	3.848
789	16.44	164 	3.853
790	16.45	165 	3.857
791	16.46	165 	3.862
792	16.48	165 	3.867
793	16.49	165 	3.872
794	16.50	165 	3.877
795	16.51	165 	3.882
796	16.53	165 	3.887
797	16.54	165 	3.892
798	16.55	166 	3.896
799	16.56	166 	3.901
800	16.58	166 	3.906
801	16.59	166 	3.911
802	16.60	166 	3.916
803	16.61	166 	3.921
804	16.62	166 	3.926
805	16.64	166 	3.931
806	16.65	166 	3.936
807	16.66	167 	3.940
808	16.67	167 	3.945
809	16.69	167 	3.950
810	16.70	167 	3.955
811	16.71	167 	3.960
812	16.72	167 	3.965
813	16.73	167 	3.970
814	16.75	167 	3.975
815	16.76	168 	3.979
816	16.77	168 	3.984
817	16.78	168 	3.989
818	16.80	168 	3.994
819	16.81	168 	3.999
820	16.82	168 	4.004
821	16.83	168 	4.009
822	16.84	168 	4.014
823	16.86	169 	4.019
824	16.87	169 	4.023
825	16.88	169 	4.028
826	16.89	169 	4.033
827	16.91	169 	4.038
828	16.92	169 	4.043
829	16.93	169 	4.048
830	16.94	169 	4.053
831	16.95	170 	4.058
832	16.97	170 	4.063
833	16.98	170 	4.067
834	16.99	170 	4.072
835	17.00	170 	4.077
836	17.02	170 	4.082
837	17.03	170 	4.087
838	17.04	170 	4.092
839	17.05	171 	4.097
840	17.06	171 	4.102
841	17.08	171 	4.106
842	17.09	171 	4.111
843	17.10	171 	4.116
844	17.11	171 	4.121
845	17.13	171 	4.126
846	17.14	171 	4.131
847	17.15	172 	4.136
848	17.16	172 	4.141
849	17.17	172 	4.146
850	17.19	172 	4.150
851	17.20	172 	4.155
852	17.21	172 	4.160
853	17.22	172 	4.165
854	17.24	172 	4.170
855	17.25	172 	4.175
856	17.26	173 	4.180
857	17.27	173 	4.185
858	17.28	173 	4.189
859	17.30	173 	4.194
860	17.31	173 	4.199
861	17.32	173 	4.204
862	17.33	173 	4.209
863	17.35	173 	4.214
864	17.36	174 	4.219
865	17.37	174 	4.224
866	17.38	174 	4.229
867	17.40	174 	4.233
868	17.41	174 	4.238
869	17.42	174 	4.243
870	17.43	174 	4.248
871	17.44	174 	4.253
872	17.46	175 	4.258
873	17.47	175 	4.263
874	17.48	175 	4.268
875	17.49	175 	4.272
876	17.51	175 	4.277
877	17.52	175 	4.282
878	17.53	175 	4.287
879	17.54	175 	4.292
880	17.55	176 	4.297
881	17.57	176 	4.302
882	17.58	176 	4.307
883	17.59	176 	4.312
884	17.60	176 	4.316
885	17.62	176 	4.321
886	17.63	176 	4.326
887	17.64	176 	4.331
888	17.65	177 	4.336
889	17.66	177 	4.341
890	17.68	177 	4.346
891	17.69	177 	4.351
892	17.70	177 	4.355
893	17.71	177 	4.360
894	17.73	177 	4.365
895	17.74	177 	4.370
896	17.75	178 	4.375
897	17.76	178 	4.380
898	17.77	178 	4.385
899	17.79	178 	4.390
900	17.80	178 	4.395
901	17.81	178 	4.399
902	17.82	178 	4.404
903	17.84	178 	4.409
904	17.85	178 	4.414
905	17.86	179 	4.419
906	17.87	179 	4.424
907	17.88	179 	4.429
908	17.90	179 	4.434
909	17.91	179 	4.438
910	17.92	179 	4.443
911	17.93	179 	4.448
912	17.95	179 	4.453
913	17.96	180 	4.458
914	17.97	180 	4.463
915	17.98	180 	4.468
916	17.99	180 	4.473
917	18.01	180 	4.478
918	18.02	180 	4.482
919	18.03	180 	4.487
920	18.04	180 	4.492
921	18.06	181 	4.497
922	18.07	181 	4.502
923	18.08	181 	4.507
924	18.09	181 	4.512
925	18.10	181 	4.517
926	18.12	181 	4.521
927	18.13	181 	4.526
928	18.14	181 	4.531
929	18.15	182 	4.536
930	18.17	182 	4.541
931	18.18	182 	4.546
932	18.19	182 	4.551
933	18.20	182 	4.556
934	18.22	182 	4.561
935	18.23	182 	4.565
936	18.24	182 	4.570
937	18.25	183 	4.575
938	18.26	183 	4.580
939	18.28	183 	4.585
940	18.29	183 	4.590
941	18.30	183 	4.595
942	18.31	183 	4.600
943	18.33	183 	4.604
944	18.34	183 	4.609
945	18.35	183 	4.614
946	18.36	184 	4.619
947	18.37	184 	4.624
948	18.39	184 	4.629
949	18.40	184 	4.634
950	18.41	184 	4.639
951	18.42	184 	4.644
952	18.44	184 	4.648
953	18.45	184 	4.653
954	18.46	185 	4.658
955	18.47	185 	4.663
956	18.48	185 	4.668
957	18.50	185 	4.673
958	18.51	185 	4.678
